days_since_start,amount_normalized,predicted_amount
142,0.13291739778309195,0.16041424817682196
2680,-0.4828810980400197,-0.42783127206393906
275,-0.23958737093471463,-0.24193466554706028
3552,-0.49937348626887074,-0.4398135456477914
721,0.46549322657841724,0.4336391719794429
1856,1.705522416717587,0.6870166530179908
3514,-1.5309537695456459,-1.8343396978120685
2760,-0.49007326734282697,-0.45201789984871227
1607,0.03793116181843158,0.07192310448212483
2112,-0.09934006952997451,-0.10918466948430797
2080,-0.38553880661409495,-0.39855430666843333
124,-0.21763885426925134,-0.1913372958090013
3322,-0.439232070547121,-0.42177320423864206
3341,-0.37537056725495377,-0.4238524637127597
2016,0.5398949779867674,0.5152971694243687
1937,1.351618085851868,1.020145797488208
3394,-0.20040244852631686,-0.19904742380332968
3401,-0.47444889954707337,-0.4817154074716305
1268,1.1255607644894972,1.2522970866697014
1677,-0.4145554896633515,-0.4090168322371911
2543,-0.48362511555410326,-0.45391626746090563
548,-0.15278532762497277,-0.13291966889244425
638,0.6552176926697102,0.6324648326976997
2575,-0.19569033760378804,-0.17336935155111377
2899,0.29821328882864334,0.2613798147520291
3195,-0.47779697836044915,-0.5328211080751996
2820,-0.46973678862454454,-0.45201789984871227
815,2.0306580703720774,0.9044708523202847
1702,0.12411319053310382,0.1764536211339305
802,0.4584250601946241,0.4336391719794429
201,-0.009933964920940456,-0.026556342301922206
110,-0.23475125709317188,-0.2411800865623935
1927,0.008170461255091433,0.009274044724872277
1057,-0.47457290246608735,-0.4760389442203312
3480,-0.466140703973141,0.46060315107822347
26,-0.4076113261985721,-0.4013196244985273
2148,-0.23251920455092137,-0.23135634102654107
1248,-0.0151420875195249,-0.03364230533593024
3384,0.3491784885433632,0.3505149132979455
39,0.2737847137829017,0.1990895724020147
2414,-0.48883323815268775,-0.42815918153064086
2202,-0.5102857431420954,-0.4299313355638694
3196,-0.2555837474875099,-0.29589770165844304
637,-0.46539668645905746,-0.46370642229793974
3282,0.12287316134296464,0.11295604331668316
3485,0.3166897237617169,0.388538105676042
732,2.6338082684557698,2.7312771048102955
1119,0.6958906501062749,0.7874983340620723
2539,-0.19693036679392723,-0.17336935155111377
94,-1.208546180109462,-1.3804837929824985
650,-0.34536186085358583,-0.33966849600547416
1995,-0.33258956019515235,-0.3242644993137166
1232,0.8277057530180687,0.8273905484684949
2889,0.7927369298561442,0.8478034969398421
2634,-0.5241740700716542,-0.49273380153266094
3436,-0.294396661138866,-0.2904097166024535
934,0.27849682470543047,0.2247660173435215
336,-0.07825957329760869,-0.07676311398458574
2546,-0.13356487517781562,-0.1188832285765434
2231,-0.3394097207409178,-0.33181484261554356
2443,-0.36284627243454814,-0.33181484261554356
2784,0.7199472163949748,0.825544724080873
1585,-0.03609858083287693,-0.03404219213654603
345,-0.3509419922092121,-0.3384911453667966
2350,-0.27356417074452793,-0.2656318999588664
697,-0.4378680384379679,-0.42227539849644774
498,0.12969332188873012,0.15353561699217044
1106,-0.5122697898463181,-0.4826761705432166
793,0.46549322657841724,0.3963568259456126
2237,-2.262570991727756,-1.5873192919503942
2834,-0.3359376390085282,-0.3267244354080536
2430,-0.21193471999461114,-0.1898746721480936
1295,-0.5149978540646243,-0.48451022377609587
2440,-0.4804010396597414,-0.42815918153064086
1790,-0.07057139231874578,-0.06335867072081289
849,-1.7293584399679132,-1.6713776515778629
226,-0.5087977081139284,-0.4711259375501827
2679,0.057895631779672205,0.054973901559851955
908,0.7134990646062512,0.927486969936023
56,-0.4863531797724094,-0.2123968157833406
384,0.16503415380769648,0.1814067523151083
3105,0.564323553032509,0.48632560855047585
2622,-0.2743081882586114,-0.2559839594686553
3394,-0.0791275937307061,-0.055160725482068546
2908,-1.369749974827554,-1.04157249560013
2512,0.16825822970205828,0.20440192401138768
2427,-0.1309608138785234,-0.1188832285765434
2998,1.0610792466022605,0.7019066540593122
1319,0.5855280521838889,0.5752028065667947
2689,-0.08855181557576378,-0.14339436879205097
1357,0.176194416518949,0.2348736645980323
3298,0.2546882642547584,0.19757626016564933
398,-0.5125177956843459,-0.48216952015068154
2081,-0.09189989438913956,-0.10918466948430797
2059,0.7493359082012732,0.7456906411877219
2431,-0.483997124311145,-0.45886396473340324
